ID,Title,Author,Subject,Publisher,Year Of Publication,ISBN,Keywords,Copies
1,Towns For People,Mikhali Posokhin,Urban Development,"Progress Publishers, Moscow",1980,,"towns, People, Building",1
2,An Introduction To Social Equity Audit,Edwin,General,National Centre For Advocacy Studies,January 2007,,Social Equity Audit,1
3,The Corporation-The Pathological Pursuit Of Profit And Power,Joel Bakan,General,First Free Press Trade Paperback,2005,,"Business, Democracy, Corporations, Reckoning",1
4,Psycho-Social Care In Disaster Response,"Dr.K.Sekar, Nimhans",Disasters,"Unnati, Oxfam",2008,,"Disasters & Impact, Psycho-Social Care",2
5,Water And Sanitation,C.P.Jeevan,Water,"Unnati, Oxfam",2007,,"Water, Sanitation, Wastan",1
6,Pattern And Shape,Kurt Rowland,Architecture,Ginn and Company Ltd.,,-,"Patterns,Page, Materials, Surroundings",1
7,Anchoring Homes,Un-Habitat,Architecture,Un-Habitat,2007,9789211319101,"Anchoring Homes ,Tsunami,",1
8,Disaster Risk Reduction,Unnati,Disasters,Unnati-Organisation For Development Eduction,March 2008,,"Disasters, Vulnerability, Reduction, Community, Instructions",1
9,From Post-Tsunami Emergency Assistance To Livelihood In South India,Philippe Regnier,Disasters,International Federation Terre ,Febuary 2007,,"Argumentary, Relif Assistance",1
10,An Owner Driven Interim Shelter Initiative In J & K Report On Tanghdar Region,ODRC,Disasters,Kutch Nav Nirman Abhiyan,November 2005,,,3
11,Manual For Restoration And Retrofitting Of Rural Structures In Kashmir,"Rajendra Desai, Rupal Desai",Disasters,"UNESCO, UNDP",July 2007,,"Architecture, Construction, ",1
12,Assessing Damage After Disasters,"Vivek Rawal, Dinesh Prajapati",Disasters,Unnati,2007,,"Loss & Damage, Housing, ",4
13,Manual On Hazard Resistant Construction In India,"Rajendra Desai, Rupal Desai",Disasters,NCPDP,June 2008,,"Disaster, Building , Restoration",6
14,Protecting Persons Affected By Natural Disasters,Brookings-Bern Project On Internal Displacement,Disasters,Brookings-Bern Project On Internal Displacement,June 2006,,"Protection of Life, ",1
15,Disaster Management Community,G.Padmanabhan,Disasters,United Nations,April 2007,,"Disaster,",1
16,A People's Guide To Building Damages And Disaster Safe Construction,"Vivek Rawal, Dinesh Prajapati, Balaji Joshi",Disasters,Unnati,2006,,"Foundation and Plinth, Walls and Openings, Roof and Overhangs",4
17,Working Paper,Sulhpal Singh,Environment,IIM Ahmedabad,Nov. 2006,,Agricultural  Development,1
18,Sabarmati Riverfront Project- Zupdao Na Punarvasan Par Ek Abhyas,Dr. Renu Desai,Housing,Not Known,,,,1
19,Owner Driven Reconstruction: Towards A Policy Framework- Regional Consultation Gandhidham,ODRC,Disasters,ODR Collaborative Secretanat,December 2008,,,10
20,Tsunami Lessons For Habitat Development,UNDP,Disasters,UNDP,2008,,"Shelter & Habitat Development, Tsunami",3
21,Catch It Where It Falls,"Radha Kunke, Satyanarayan Padhiari, Peeyush Sekhsaria, Charlotte Rebello",Water,UNDP India,2008,, Water Construction & Management,1
22,Women's Participation In Disaster Relif And Recovery,"Ayse Yonder, Sengul Akcar, Prema Gopalan",Disasters,Population Council,November 2005,,"Disaster,  Relief",1
